ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64
mmu0, tlb_hits, Core0_PTWC, Accumulator, 410470000, 0, 0, 0, 0
mmu0, tlb_misses, Core0_PTWC, Accumulator, 410470000, 0, 0, 0, 0
mmu0, total_waiting, 0, Accumulator, 410470000, 0, 99638, 147364, 77977
mmu0, tlb_hits, Core0_L2, Accumulator, 410470000, 0, 0, 0, 0
mmu0, tlb_misses, Core0_L2, Accumulator, 410470000, 0, 0, 0, 0
mmu0, tlb_hits, Core0_L1, Accumulator, 410470000, 0, 77977, 77977, 77977
mmu0, tlb_misses, Core0_L1, Accumulator, 410470000, 0, 0, 0, 0
mmu0, tlb_hits, Core1_PTWC, Accumulator, 410470000, 0, 0, 0, 0
mmu0, tlb_misses, Core1_PTWC, Accumulator, 410470000, 0, 0, 0, 0
mmu0, total_waiting, 1, Accumulator, 410470000, 0, 14242, 22824, 10257
mmu0, tlb_hits, Core1_L2, Accumulator, 410470000, 0, 0, 0, 0
mmu0, tlb_misses, Core1_L2, Accumulator, 410470000, 0, 0, 0, 0
mmu0, tlb_hits, Core1_L1, Accumulator, 410470000, 0, 10257, 10257, 10257
mmu0, tlb_misses, Core1_L1, Accumulator, 410470000, 0, 0, 0, 0
mmu0, tlb_hits, Core2_PTWC, Accumulator, 410470000, 0, 0, 0, 0
mmu0, tlb_misses, Core2_PTWC, Accumulator, 410470000, 0, 0, 0, 0
mmu0, total_waiting, 2, Accumulator, 410470000, 0, 24035, 38039, 17474
mmu0, tlb_hits, Core2_L2, Accumulator, 410470000, 0, 0, 0, 0
mmu0, tlb_misses, Core2_L2, Accumulator, 410470000, 0, 0, 0, 0
mmu0, tlb_hits, Core2_L1, Accumulator, 410470000, 0, 17474, 17474, 17474
mmu0, tlb_misses, Core2_L1, Accumulator, 410470000, 0, 0, 0, 0
mmu0, tlb_hits, Core3_PTWC, Accumulator, 410470000, 0, 0, 0, 0
mmu0, tlb_misses, Core3_PTWC, Accumulator, 410470000, 0, 0, 0, 0
mmu0, total_waiting, 3, Accumulator, 410470000, 0, 12041, 19177, 8675
mmu0, tlb_hits, Core3_L2, Accumulator, 410470000, 0, 0, 0, 0
mmu0, tlb_misses, Core3_L2, Accumulator, 410470000, 0, 0, 0, 0
mmu0, tlb_hits, Core3_L1, Accumulator, 410470000, 0, 8675, 8675, 8675
