ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64
mmu0, tlb_hits, Core0_PTWC, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, tlb_misses, Core0_PTWC, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, total_waiting, 0, Accumulator, 10389702000, 0, 99457, 146031, 78147
mmu0, tlb_hits, Core0_L2, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, tlb_misses, Core0_L2, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, tlb_hits, Core0_L1, Accumulator, 10389702000, 0, 78147, 78147, 78147
mmu0, tlb_misses, Core0_L1, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, tlb_hits, Core1_PTWC, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, tlb_misses, Core1_PTWC, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, total_waiting, 1, Accumulator, 10389702000, 0, 269526, 274534, 267152
mmu0, tlb_hits, Core1_L2, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, tlb_misses, Core1_L2, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, tlb_hits, Core1_L1, Accumulator, 10389702000, 0, 267152, 267152, 267152
mmu0, tlb_misses, Core1_L1, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, tlb_hits, Core2_PTWC, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, tlb_misses, Core2_PTWC, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, total_waiting, 2, Accumulator, 10389702000, 0, 268888, 273338, 266773
mmu0, tlb_hits, Core2_L2, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, tlb_misses, Core2_L2, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, tlb_hits, Core2_L1, Accumulator, 10389702000, 0, 266773, 266773, 266773
mmu0, tlb_misses, Core2_L1, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, tlb_hits, Core3_PTWC, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, tlb_misses, Core3_PTWC, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, total_waiting, 3, Accumulator, 10389702000, 0, 287184, 300280, 281030
mmu0, tlb_hits, Core3_L2, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, tlb_misses, Core3_L2, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, tlb_hits, Core3_L1, Accumulator, 10389702000, 0, 281030, 281030, 281030
mmu0, tlb_misses, Core3_L1, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, tlb_hits, Core4_PTWC, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, tlb_misses, Core4_PTWC, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, total_waiting, 4, Accumulator, 10389702000, 0, 268495, 272867, 266413
mmu0, tlb_hits, Core4_L2, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, tlb_misses, Core4_L2, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, tlb_hits, Core4_L1, Accumulator, 10389702000, 0, 266413, 266413, 266413
mmu0, tlb_misses, Core4_L1, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, tlb_hits, Core5_PTWC, Accumulator, 10389702000, 0, 0, 0, 0
mmu0, tlb_misses, Core5_PTWC, Accumulator, 10389702000, 0, 0, 0, 0
